frame.number,frame.time_relative,ip.src,ip.dst,tcp.len,tcp.payload
1,0.000000000,192.168.95.42,192.168.95.41,6,000000026869
2,0.000646700,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
4,1.001315200,192.168.95.42,192.168.95.41,6,000000026869
5,1.001968100,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
7,2.002634600,192.168.95.42,192.168.95.41,6,000000026869
8,2.003282100,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
10,3.003960000,192.168.95.42,192.168.95.41,6,000000026869
11,3.004612300,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
13,4.005279500,192.168.95.42,192.168.95.41,6,000000026869
14,4.005937600,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
16,5.006619900,192.168.95.42,192.168.95.41,6,000000026869
17,5.007270100,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
19,6.007934700,192.168.95.42,192.168.95.41,6,000000026869
20,6.008595000,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
22,7.009253300,192.168.95.42,192.168.95.41,6,000000026869
23,7.009906000,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
25,8.010575500,192.168.95.42,192.168.95.41,6,000000026869
26,8.011227600,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
28,9.011906100,192.168.95.42,192.168.95.41,6,000000026869
29,9.012558100,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
32,10.013241500,192.168.95.42,192.168.95.41,6,000000026869
33,10.013849500,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
36,11.014546600,192.168.95.42,192.168.95.41,6,000000026869
37,11.015158000,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
40,12.015871100,192.168.95.42,192.168.95.41,6,000000026869
41,12.016459800,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
43,12.942426400,192.168.95.41,192.168.95.42,107,000e00673130310a31392e30332e323032365f31313a31303a34370a39300a31310a2038340a20300a20496e697469616c69736174696f6e206f6620496e737472756d656e742e2046696c746572576865656c7320696e697469616c69736174696f6e20646f6e652e0a0a
44,12.942706200,192.168.95.42,192.168.95.41,7,000e0003313031
46,12.970083800,192.168.95.41,192.168.95.42,86,001000523130310a31392e30332e323032365f31313a31303a34380a3130303930353038310a4d5243446574656374696f6e43616d65726141637469766174653a3a4f6e53746172743a2061726d2063616d6572610a
47,12.970120500,192.168.95.42,192.168.95.41,7,00100003313031
49,13.017189100,192.168.95.42,192.168.95.41,6,000000026869
51,13.017856000,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
52,13.058929000,192.168.95.41,192.168.95.42,93,001000593130310a31392e30332e323032365f31313a31303a34380a3130303930353038300a4d5243446574656374696f6e43616d65726141637469766174653a3a4f6e416e737765723a2063616d657261206163746976617465640a
53,13.059014100,192.168.95.42,192.168.95.41,7,00100003313031
56,13.060234900,192.168.95.41,192.168.95.42,110,000e006a3130320a31392e30332e323032365f31313a31303a34380a39300a31310a2038350a20300a20496e697469616c69736174696f6e206f6620496e737472756d656e742e2057656c6c436f6f7264696e617465732063616c63756c6174696f6e20737461727465642e0a0a
57,13.060301800,192.168.95.42,192.168.95.41,7,000e0003313032
59,14.018507300,192.168.95.42,192.168.95.41,6,000000026869
61,14.019212600,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
63,15.019830600,192.168.95.42,192.168.95.41,6,000000026869
64,15.020487200,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
66,16.021152900,192.168.95.42,192.168.95.41,6,000000026869
67,16.021807900,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
69,17.022480000,192.168.95.42,192.168.95.41,6,000000026869
70,17.023131900,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
72,18.023798200,192.168.95.42,192.168.95.41,6,000000026869
73,18.024455200,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
75,19.025119900,192.168.95.42,192.168.95.41,6,000000026869
76,19.025778900,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
78,20.026441900,192.168.95.42,192.168.95.41,6,000000026869
79,20.027087700,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
81,21.027766500,192.168.95.42,192.168.95.41,6,000000026869
82,21.028420500,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
84,21.979059600,192.168.95.41,192.168.95.42,35,000e001f3130310a31392e30332e323032365f31313a31303a35370a3330310a360a0a
85,21.979150800,192.168.95.42,192.168.95.41,7,000e0003313031
87,22.029097400,192.168.95.42,192.168.95.41,6,000000026869
89,22.029784700,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
91,23.030414200,192.168.95.42,192.168.95.41,6,000000026869
92,23.031067400,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
94,24.031734900,192.168.95.42,192.168.95.41,6,000000026869
95,24.032392500,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
98,25.033067400,192.168.95.42,192.168.95.41,6,000000026869
99,25.033657800,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
102,26.034390000,192.168.95.42,192.168.95.41,6,000000026869
103,26.034978200,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
106,27.035712300,192.168.95.42,192.168.95.41,6,000000026869
107,27.036302400,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
109,27.611728600,192.168.95.41,192.168.95.42,179,001000af3130310a31392e30332e323032365f31313a31313a30320a3130303930353035300a4d5243446574656374696f6e43616c6357656c6c436f6f7264696e617465733a3a4f6e416e737765723a20436f7665724d61726b657220636f6f7264696e617465733a2020305f583a203135312c20305f593a203936362020315f583a20313230302c20315f593a2035332020325f583a20302c20325f593a20302020335f583a20302c20335f593a2030200a
